============================================================
ACGM Tree Icon Diagnostics - 2026-07-02 17:27:24
Icon priority: Monarch -> Mule -> Rescue Squad -> PK -> Normal
ID=89; Name='Taisha'; Level=1; RawFlags='||'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=90; Name='The Machine'; Level=1; RawFlags='||'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=91; Name='Treagar'; Level=76; RawFlags='0|0|0'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=92; Name='Von Zoll'; Level=1; RawFlags='||'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=93; Name='Wicked Temptress'; Level=1; RawFlags='||'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=94; Name='Quam'; Level=53; RawFlags='0|0|0'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=95; Name='Corpse of Soul Jacker'; Level=26; RawFlags='0|0|0'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=96; Name='Razore'; Level=1; RawFlags='||'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=97; Name='Shun Po'; Level=1; RawFlags='||'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=98; Name='Two Bit Luder'; Level=1; RawFlags='||'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=99; Name='Gaberial'; Level=65; RawFlags='0|0|0'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=100; Name='Geraynt'; Level=1; RawFlags='||'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=101; Name='Solar Rage'; Level=1; RawFlags='||'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=102; Name='Kenjia'; Level=73; RawFlags='0|0|0'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=103; Name='Manhater'; Level=1; RawFlags='0|0|0'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=104; Name='Mentehsuxxors'; Level=1; RawFlags='0|0|0'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=105; Name='Gadnium'; Level=73; RawFlags='0|0|0'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=106; Name='Altered Kamotz'; Level=1; RawFlags='||'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=107; Name='Fizzle Princess'; Level=70; RawFlags='0|0|0'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=108; Name='Moonshadow'; Level=37; RawFlags='0|0|0'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=109; Name='Razora'; Level=1; RawFlags='||'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=110; Name='Razorus'; Level=1; RawFlags='||'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=111; Name='Jaded Wraith'; Level=72; RawFlags='0|0|0'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=112; Name='Nazgran'; Level=1; RawFlags='||'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=113; Name='Alcy For Wealth'; Level=1; RawFlags='||'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=114; Name='Deathscythe L o A'; Level=1; RawFlags='||'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=115; Name='Flying Dagger'; Level=1; RawFlags='||'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=116; Name='God Aires'; Level=1; RawFlags='||'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=117; Name='Huck of the hill ppl'; Level=1; RawFlags='||'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=118; Name='Karm Rue'; Level=1; RawFlags='||'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=119; Name='Kenjia's Puppet'; Level=19; RawFlags='0|0|0'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=120; Name='Old Man''; Level=28; RawFlags='0|0|0'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=121; Name='Soul Jacker'; Level=55; RawFlags='0|0|0'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=122; Name='Azur Cyra'; Level=45; RawFlags='0|0|0'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=123; Name='Freeda Fianna'; Level=46; RawFlags='0|0|0'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=124; Name='Brynn Ohmsford'; Level=1; RawFlags='||'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=125; Name='Ravenoft'; Level=1; RawFlags='||'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=126; Name='Runraver'; Level=1; RawFlags='||'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=127; Name='Gromph-Baenre'; Level=1; RawFlags='||'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=128; Name='Hung Mule'; Level=30; RawFlags='1|0|0'; IsMule=True; IsRescueSquad=False; IsPk=False; Icon='mule'; Reason='IsMule was true'
ID=129; Name='Slayer of Doom'; Level=1; RawFlags='||'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=130; Name='Tesst'; Level=49; RawFlags='0|0|0'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=131; Name='Zgar'; Level=62; RawFlags='0|0|0'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=132; Name='Solarport'; Level=1; RawFlags='||'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=133; Name='Winterport'; Level=1; RawFlags='||'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=134; Name='Wu Tang Killer Bee'; Level=1; RawFlags='||'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=135; Name='Moon child'; Level=9; RawFlags='0|0|0'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=136; Name='Emeril lagasse'; Level=1; RawFlags='||'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
ID=137; Name='Capfan'; Level=1; RawFlags='||'; IsMule=False; IsRescueSquad=False; IsPk=False; Icon='normal'; Reason='No displayed special tree icon flags were true'
